,PREFERRED NAME,CASRN,SMILES,use
1941,Linuron,330-55-2,CON(C)C(=O)Nc1ccc(Cl)c(Cl)c1,Herbicide
1942,"Perfluorooctane sulfonate, lithium salt",29457-72-5,[Li+].[O-][S](=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,"Adjuvant,Insecticide"
1948,Lufenuron,103055-07-8,FC(C(F)(F)F)C(F)(F)Oc1cc(Cl)c(NC(=O)NC(=O)c2c(F)cccc2F)cc1Cl,Insecticide
1950,Lythidathion,2669-32-1,CCOC1=NN(CS[P](=S)(OC)OC)C(=O)S1,Insecticide
1951,m-Cumenyl methylcarbamate,64-00-6,CNC(=O)Oc1cccc(c1)C(C)C,Insecticide
1960,Magnesium lauryl sulfate,3097-08-3,[Mg++].CCCCCCCCCCCC[S]([O-])(=O)=O.CCCCCCCCCCCC[S]([O-])(=O)=O,"Adjuvant,Fungicide,Insecticide,Microbiocide"
1967,Magnesium trichloroacetate,16094-02-3,[Mg++].[O-]C(=O)C(Cl)(Cl)Cl,Herbicide
1968,Malathion,121-75-5,CCOC(=O)CC(S[P](=S)(OC)OC)C(=O)OCC,Insecticide
1969,"Maleic hydrazide, potassium salt","28382-15-2, 51542-52-0",[K+].O=C1N[N-]C(=O)C=C1,"Herbicide,Plant Growth Regulator"
1970,Malic acid,6915-15-7,OC(CC(O)=O)C(O)=O,Microbiocide
1973,Mancopper,53988-93-5,[Mn++].[Cu++].[S-]C(=S)NCCNC([S-])=S.[S-]C(=S)NCCNC([S-])=S,Fungicide
1975,Maneb,12427-38-2,[Mn++].[S-]C(=S)NCCNC([S-])=S,Fungicide
1978,Manganous dimethyldithiocarbamate,15339-36-3,[Mn++].CN(C)C([S-])=S.CN(C)C([S-])=S,Fungicide
1980,MCPA,94-74-6,Cc1cc(Cl)ccc1OCC(O)=O,Herbicide
1981,"MCPA, 2-ethyl hexyl ester",29450-45-1,CCCCC(CC)COC(=O)COc1ccc(Cl)cc1C,Herbicide
1983,"MCPA, butoxyethanol ester",19480-43-4,CCCCOCCOC(=O)COc1ccc(Cl)cc1C,Herbicide
1984,"MCPA, butyl ester",1713-12-8,CCCCOC(=O)COc1ccc(Cl)cc1C,Herbicide
1985,"MCPA, diethanolamine salt",20405-19-0,Cc1cc(Cl)ccc1OCC(O)=O.OCCNCCO,Herbicide
1987,"MCPA, dimethylamine salt",2039-46-5,CNC.Cc1cc(Cl)ccc1OCC(O)=O,Herbicide
1990,"MCPA, isobutyl ester",1713-11-7,CC(C)COC(=O)COc1ccc(Cl)cc1C,Herbicide
1991,"MCPA, isooctyl ester",26544-20-7,CC(C)CCCCCOC(=O)COc1ccc(Cl)cc1C,Herbicide
1993,"MCPA, isopropyl ester",2698-40-0,CC(C)OC(=O)COc1ccc(Cl)cc1C,Herbicide
1995,"MCPA, potassium salt",5221-16-9,[K+].Cc1cc(Cl)ccc1OCC([O-])=O,Herbicide
1996,"MCPA, sodium salt",3653-48-3,[Na+].Cc1cc(Cl)ccc1OCC([O-])=O,Herbicide
1997,"MCPA, triethanolamine salt",42459-68-7,Cc1cc(Cl)ccc1OCC(O)=O.OCCN(CCO)CCO,Herbicide
1999,MCPB,94-81-5,Cc1cc(Cl)ccc1OCCCC(O)=O,Herbicide
2000,"MCPB, sodium salt",6062-26-6,[Na+].Cc1cc(Cl)ccc1OCCCC([O-])=O,Herbicide
2001,MCPP,"7085-19-0, 93-65-2",CC(Oc1ccc(Cl)cc1C)C(O)=O,Herbicide
2003,"MCPP-P, dimethylamine salt",66423-09-4,C[C@H](Oc1ccc(Cl)cc1C)C(=O)ON(C)C,Herbicide
2005,"MCPP, diethanolamine salt",1432-14-0,CC(Oc1ccc(Cl)cc1C)C(O)=O.OCCNCCO,Herbicide
2006,"MCPP, dimethylamine salt",32351-70-5,CNC.Cc1cc(Cl)ccc1OCCC(O)=O,Herbicide
2007,"MCPP, isooctyl ester",28473-03-2,CCCCCCC(C)OC(=O)C(C)Oc1ccc(Cl)cc1C,Herbicide
2008,"MCPP, potassium salt",1929-86-8,[K+].CC(Oc1ccc(Cl)cc1C)C([O-])=O,Herbicide
2009,"MCPP, triethanolamine salt",53404-61-8,CC(Oc1ccc(Cl)cc1C)C(O)=O.OCCN(CCO)CCO,Herbicide
2010,Mecamylamine hydrochloride,"60-40-2, 826-39-1",[H+].[Cl-].CNC1(C)C2CCC(C2)C1(C)C,Insecticide
2011,Mecarbam,2595-54-2,CCOC(=O)N(C)C(=O)CS[P](=S)(OCC)OCC,Insecticide
2012,Mecarphon,29173-31-7,COC(=O)N(C)C(=O)CS[P](C)(=S)OC,Insecticide
2013,Mecoprop-P,16484-77-8,C[C@@H](Oc1ccc(Cl)cc1C)C(O)=O,Herbicide
2014,Medinoterb acetate,2487-01-6,CC(=O)Oc1c(cc(c(C)c1C(C)(C)C)[N+]([O-])=O)[N+]([O-])=O,Herbicide
2015,Mefenacet,73250-68-7,CN(C(=O)COc1sc2ccccc2n1)c3ccccc3,Herbicide
2016,Mefenoxam,70630-17-0,COCC(=O)N(C(C)C(=O)OC)c1c(C)cccc1C,Fungicide
2019,Mefenpyr-diethyl,135590-91-9,CCOC(=O)C1=NN(c2ccc(Cl)cc2Cl)C(C)(C1)C(=O)OCC,Herbicide Safener
2020,Mefluidide,53780-34-0,CC(=O)Nc1cc(N[S](=O)(=O)C(F)(F)F)c(C)cc1C,"Herbicide,Plant Growth Regulator"
2021,"Mefluidide, diethanolamine salt",53780-36-2,CC(=O)Nc1cc(N[S](=O)(=O)C(F)(F)F)c(C)cc1C.OCCNCCO,Herbicide
2022,"Mefluidide, potassium salt",83601-83-6,[K+].CC(=O)[N-]c1cc(N[S](=O)(=O)C(F)(F)F)c(C)cc1C,Herbicide
2024,Mephosfolan,950-10-7,CCO[P](=O)(OCC)N=C1SCC(C)S1,Insecticide
2025,Mepronil,55814-41-0,CC(C)Oc1cccc(NC(=O)c2ccccc2C)c1,Fungicide
2033,Merpofos,3568-56-7,CCO[P](=S)(NC)Oc1ccc(SC)c(C)c1,Insecticide
2034,Mesosulfuron-methyl,208465-21-8,COC(=O)c1ccc(CN[S](C)(=O)=O)cc1[S](=O)(=O)NC(=O)Nc2nc(OC)cc(OC)n2,Herbicide
2035,Mesotrione,104206-82-8,C[S](=O)(=O)c1ccc(C(=O)C2C(=O)CCCC2=O)c(c1)[N+]([O-])=O,Herbicide
2036,Meta-cresol,108-39-4,Cc1cccc(O)c1,Microbiocide
2038,Metalaxyl,57837-19-1,COCC(=O)N(C(C)C(=O)OC)c1c(C)cccc1C,Fungicide
2039,Metaldehyde,"9002-91-9, 108-62-3",CC=O,Molluscicide
2041,Metam potassium,137-41-7,[K+].CNC([S-])=S,"Algaecide,Fumigant,Fungicide,Microbiocide,Nematicide"
2042,Metam-sodium,"6734-80-1, 137-42-8",[Na+].CNC([S-])=S,"Algaecide,Fumigant,Fungicide,Herbicide,Microbiocide,Nematicide"
2043,Metamitron,41394-05-2,CC1=NN=C(c2ccccc2)C(=O)N1N,Herbicide
2047,Metazachlor,67129-08-2,Cc1cccc(C)c1N(Cn2cccn2)C(=O)CCl,Herbicide
2048,Metconazole,125116-23-6,CC1(C)CCC(Cc2ccc(Cl)cc2)C1(O)Cn3cncn3,Fungicide
2049,Metflurazone,23576-23-0,CN(C)C1=C(Cl)C(=O)N(N=C1)c2cccc(c2)C(F)(F)F,Herbicide
2050,Methabenzthiazuron,18691-97-9,CNC(=O)N(C)c1sc2ccccc2n1,Herbicide
2051,Methacrifos,62610-77-9,COC(=O)C(/C)=C/O[P](=S)(OC)OC,Insecticide
2053,Methamidophos,10265-92-6,CO[P](N)(=O)SC,"Breakdown product,Insecticide"
2054,Methane arsonic acid (MAA),124-58-3,C[As](O)(O)=O,Herbicide
2055,Methanol,67-56-1,CO,"Adjuvant,Microbiocide,Solvent"
2056,Methasulfocarb,66952-49-6,CNC(=O)Sc1ccc(O[S](C)(=O)=O)cc1,"Fungicide,Plant Growth Regulator"
2057,Methazole,20354-26-1,CN1C(=O)ON(C1=O)c2ccc(Cl)c(Cl)c2,Herbicide
2058,Methfuroxam,28730-17-8,Cc1oc(C)c(C(=O)Nc2ccccc2)c1C,Fungicide
2059,Methidathion,950-37-8,COC1=NN(CS[P](=S)(OC)OC)C(=O)S1,Insecticide
2061,Methiobencarb,18357-78-3,CCN(CC)C(=O)SCc1ccc(OC)cc1,Herbicide
2062,Methiocarb,2032-65-7,CNC(=O)Oc1cc(C)c(SC)c(C)c1,"Insecticide,Molluscicide"
2063,Methiuron,21540-35-2,CN(C)C(=S)Nc1cccc(C)c1,Herbicide
2064,Methometon,1771-07-9,COCCCNc1nc(NCCCOC)nc(OC)n1,Herbicide
2065,Methomyl,16752-77-5,CNC(=O)O\N=C(/C)SC,"Breakdown product,Insecticide"
2066,Methoprotryne,841-06-5,COCCCNc1nc(NC(C)C)nc(SC)n1,Herbicide
2067,Methoxychlor,"72-43-5, 30667-99-3",COc1ccc(cc1)C(c2ccc(OC)cc2)C(Cl)(Cl)Cl,Insecticide
2069,Methoxyethyl mercury chloride,123-88-6,[Cl-].COCC[Hg+],Fungicide
2070,Methoxyethyl mercury silicate,64491-92-5,COC(C)[Hg+4].[O-][Si]([O-])([O-])[O-],Fungicide
2071,Methoxyethylmercury acetate,151-38-2,COCC[Hg]OC(C)=O,Fungicide
2073,Methoxyphenone,41295-28-7,COc1ccc(cc1C)C(=O)c2cccc(C)c2,Herbicide
2074,"Methyl 2,4-dichlorophenoxyacetate",1928-38-7,COC(=O)COc1ccc(Cl)cc1Cl,Herbicide
2075,Methyl acifluorfen,50594-67-7,COC(=O)c1cc(Oc2ccc(cc2Cl)C(F)(F)F)ccc1[N+]([O-])=O,Herbicide
2077,Methyl benzethonium chloride,25155-18-4,[Cl-].Cc1cc(OCCOCC[N+](C)(C)Cc2ccccc2)ccc1C(C)(C)CC(C)(C)C,Microbiocide
2078,Methyl bromide,74-83-9,CBr,"Fumigant,Herbicide,Insecticide,Nematicide"
2080,Methyl chloramben,7286-84-2,COC(=O)c1cc(Cl)cc(N)c1Cl,Herbicide
2081,Methyl dodecyl benzyl trimethyl ammonium chloride,1399-80-0,[Cl-].CCCCCCCCCCCCC(C)[N+](C)(C)Cc1ccccc1,Microbiocide
2085,Methyl eugenol,93-15-2,COc1ccc(CC=C)cc1OC,Herbicide
2086,Methyl iodide,74-88-4,CI,"Fumigant,Nematicide"
2087,Methyl isothiocyanate,556-61-6,CN=C=S,"Breakdown product,Fumigant,Herbicide,Insecticide,Nematicide"
2088,Methyl paraben,99-76-3,COC(=O)c1ccc(O)cc1,"Fungicide,Microbiocide"
2090,"Methyl paraben, sodium salt",5026-62-0,[Na+].COC(=O)c1ccc([O-])cc1,"Fungicide,Microbiocide"
2091,Methyl parathion,298-00-0,CO[P](=S)(OC)Oc1ccc(cc1)[N+]([O-])=O,"Insecticide,Nematicide"
2093,Carbophenothion-methyl,953-17-3,CO[P](=S)(OC)SCSc1ccc(Cl)cc1,Insecticide
2095,"2,4-D, methylamine salt",51173-63-8,CN.OC(=O)COc1ccc(Cl)cc1Cl,Herbicide
2096,Methylammonium N-methyldithiocarbamate,21160-95-2,CN.CNC(S)=S,"Fumigant,Fungicide,Herbicide,Nematicide"
2098,Methyldymron,42609-73-4,CN(C(=O)NC(C)(C)c1ccccc1)c2ccccc2,Herbicide
2099,Methylene bis(thiocyanate),6317-18-6,N#CSCSC#N,"Algaecide,Fungicide,Microbiocide"
2100,Methylene blue,61-73-4,[Cl-].CN(C)c1ccc2nc3ccc(cc3[s+]c2c1)N(C)C,"Dye,Fungicide"
2102,"Methylmercury 2,3-dihydroxypropylmercaptide",2597-95-7,C[Hg]SCC(O)CO,Fungicide
2103,Methylmercury 8-hydroxyquinolinate,86-85-1,C[Hg+].[O-]c1cccc2cccnc12,Fungicide
2104,Methylmercury acetate,108-07-6,C[Hg]OC(C)=O,Fungicide
2105,Methylmercury benzoate,3626-13-9,C[Hg]OC(=O)c1ccccc1,Fungicide
2106,Methylmercury Chloride,115-09-3,C[Hg]Cl,Fungicide
2109,Methylmercury hydroxide,1184-57-2,[OH-].C[Hg+],Fungicide
2110,Methylmercury nitrile,2597-97-9,C[Hg]C#N,Fungicide
2111,Methylmercury propionate,5903-10-6,C[Hg+].CCC([O-])=O,Fungicide
2114,Metobromuron,3060-89-7,CON(C)C(=O)Nc1ccc(Br)cc1,Herbicide
2115,Metofluthrin,240494-70-6,COCc1c(F)c(F)c(COC(=O)C2C(\C=C\C)C2(C)C)c(F)c1F,Insecticide
2116,Metolachlor,51218-45-2,CCc1cccc(C)c1N(C(C)COC)C(=O)CCl,Herbicide
2119,Metolcarb,1129-41-5,CNC(=O)Oc1cccc(C)c1,Insecticide
2120,Metominostrobin,133408-50-1,CNC(=O)C(=N/OC)\c1ccccc1Oc2ccccc2,Fungicide
2121,Metosulam,139528-85-1,COc1cc(OC)n2nc(nc2n1)[S](=O)(=O)Nc3c(Cl)ccc(C)c3Cl,Herbicide
2122,Metoxuron,19937-59-8,COc1ccc(NC(=O)N(C)C)cc1Cl,Herbicide
2123,Metribuzin,21087-64-9,CSC1=NN=C(C(=O)N1N)C(C)(C)C,Herbicide
2124,Metronidazole,443-48-1,Cc1ncc(n1CCO)[N+]([O-])=O,"Drug,Microbiocide"
2125,Metsulfovax,21452-18-6,Cc1sc(C(=O)Nc2ccccc2)c(C)n1,Fungicide
2126,Metsulfuron,79510-48-8,COc1nc(C)nc(NC(=O)N[S](=O)(=O)c2ccccc2C(O)=O)n1,Herbicide
2127,Metsulfuron-methyl,"74223-64-6, 5585-64-8",COC(=O)c1ccccc1[S](=O)(=O)NC(=O)Nc2nc(C)nc(OC)n2,Herbicide
2128,Mevinphos,26718-65-0,COC(=O)\C=C(/C)O[P](=O)(OC)OC,Insecticide
2130,Mexacarbate,315-18-4,CNC(=O)Oc1cc(C)c(N(C)C)c(C)c1,Insecticide
2133,Milneb,3773-49-7,CC1NC(C)N(CCN2C(C)NC(C)SC2=S)C(=S)S1,Fungicide
2138,Mipafox,371-86-8,CC(C)N[P](F)(=O)NC(C)C,Insecticide
2139,Miral,42509-80-8,CCO[P](=S)(OCC)Oc1nn(C(C)C)c(Cl)n1,Insecticide
2140,Mirex,2385-85-5,ClC1(Cl)C2(Cl)C3(Cl)C4(Cl)C(Cl)(Cl)C5(Cl)C3(Cl)C1(Cl)C5(Cl)C24Cl,"Flame retardant,Insecticide"
2144,Mobam,1079-33-0,CNC(=O)Oc1cccc2sccc12,Insecticide
2145,Molinate,2212-67-1,CCSC(=O)N1CCCCCC1,Herbicide
2146,4-(Dichloroacetyl)-1-oxa-4-azaspiro(4.5)decane,71526-07-3,ClC(Cl)C(=O)N1CCOC12CCCCC2,Herbicide Safener
2147,Monalide,7287-36-7,CCCC(C)(C)C(=O)Nc1ccc(Cl)cc1,Herbicide
2148,Monisouron,55807-46-0,CNC(=O)Nc1cc(on1)C(C)(C)C,Herbicide
2149,Mono (trichloro) tetra (monopotassium dichloro) penta-s-triazine,30622-37-8,[K+].ClN1C(=O)[N-]C(=O)N(Cl)C1=O.ClN2C(=O)N(Cl)C(=O)N(Cl)C2=O,"Microbiocide,Water Treatment"
2151,Monoammonium methanearsonate,2321-53-1,[NH4+].C[As](O)([O-])=O,"Defoliant,Herbicide"
2152,Monocrotophos,6923-22-4,CNC(=O)\C=C(/C)O[P](=O)(OC)OC,Insecticide
2154,Monoethanolamine dodecylbenzenesulfonate,26836-07-7,CCCCCCCCCCCCO[S](=O)(=O)c1ccccc1.NCCO,"Fungicide,Microbiocide"
2156,Monolinuron,1746-81-2,CON(C)C(=O)Nc1ccc(Cl)cc1,Herbicide
2157,Monolinuron with paraquat dichloride,69312-67-0,[Cl-].[Cl-].CON(C)C(=O)Nc1ccc(Cl)cc1.C[n+]2ccc(cc2)c3cc[n+](C)cc3,Herbicide
2159,Monotributyltin salicylate,4342-30-7,CCCC[Sn](|[O]C(=O)c1ccccc1O)(CCCC)CCCC,"Antifoulant,Microbiocide"
2161,Monuron,150-68-5,CN(C)C(=O)Nc1ccc(Cl)cc1,Herbicide
2162,Monuron-TCA,140-41-0,CN(C)C(=O)Nc1ccc(Cl)cc1.OC(=O)C(Cl)(Cl)Cl,Herbicide
2163,Morfamquat,4636-83-3,[Cl-].[Cl-].CC1COCC(C)N1C(=O)C[n+]2ccc(cc2)c3cc[n+](CC(=O)N4C(C)COCC4C)cc3,Herbicide
2164,Morpholine,110-91-8,C1COCCN1,Microbiocide
2165,Morpholine dodecyl benzene sulfonate,12068-08-5,CCCCCCCCCCCCO[S](=O)(=O)c1ccccc1.C2COCCN2,"Adjuvant,Fungicide,Insecticide,Microbiocide"
2168,Morpholinomethyl dimethyldithiocarbamate,31848-11-0,CN(C)C(=S)SCN1CCOCC1,"Fungicide,Microbiocide"
2169,Morphothion,144-41-2,CO[P](=S)(OC)SCC(=O)N1CCOCC1,Insecticide
2171,MPMT,845-52-3,COCCCNc1nc(NCCCOC)nc(SC)n1,Herbicide
2172,MSMA,2163-80-6,[Na+].C[As](O)([O-])=O,"Defoliant,Herbicide"
2174,Mucochloric anhydride,4412-09-3,ClC1=C(Cl)C(=O)OC1OC2OC(=O)C(=C2Cl)Cl,Rodenticide
2175,Myclobutanil,88671-89-0,CCCCC(Cn1cncn1)(C#N)c2ccc(Cl)cc2,Fungicide
2176,Myclozolin,54864-61-8,COCC1(C)OC(=O)N(C1=O)c2cc(Cl)cc(Cl)c2,Fungicide
2180,"N-(1-Methyl alkyl*) dimethylamine *(66% C12, 34% C14)",70955-13-4,CCN(C)C,Microbiocide
2181,"N-(2-Ethyl alkyl*) dimethylamine *(62.6% C14, 35.8% C16, 1.6% C12)",68037-93-4,CCCCCCCCCCCCCCCCN(C)C,Microbiocide
2182,N-(2-hydroxy propyl) octanamide,23054-60-6,CCCCCCCC(=O)NCC(C)O,Microbiocide
2183,"N-(2-hydroxyethyl) ethylene diamine triacetic acid,trisodium salt",139-89-9,[Na+].[Na+].[Na+].OCCN(CCN(CC([O-])=O)CC([O-])=O)CC([O-])=O,"Adjuvant,Microbiocide"
2184,N-(2-methyl-1-naphthyl) maleimide,70017-56-0,Cc1ccc2ccccc2c1N3C(=O)C=CC3=O,Fungicide
2185,"N-(3,4-dichlorobenzyl)-N-dodecyl-N,N-dimethyl ammonium chloride",102-30-7,[Cl-].CCCCCCCCCCCC[N+](C)(C)Cc1ccc(Cl)c(Cl)c1,Microbiocide
2186,N-(Ethylmercury)-p-toluenesulfonanilide,517-16-8,CC[Hg]N(c1ccccc1)[S](=O)(=O)c2ccc(C)cc2,Fungicide
2187,N-(Phenylmercuri) urea,2279-64-3,NC(=O)N[Hg]c1ccccc1,Herbicide
2189,Amidochlor,40164-67-8,CCc1cccc(CC)c1N(CNC(C)=O)C(=O)CCl,Herbicide
2193,"N-Alkyl* dimethylamine *(76% C16, 12% C14, 10.5% C18, 1.5% C8-C12)",112-69-6,CCCCCCCCCCCCCCCCN(C)C,Microbiocide
2194,"N-Alkyl* dimethylamine *(90% C18, 8.5%C16, 1.5%C17)",124-28-7,[Cl-].CCCCCCCCCCCCCCCCCC[NH+](C)C,Microbiocide
2195,N-Cetyl-N-ethyl morpholinium ethyl sulfate,"10096-64-7, 61791-34-2, 78-21-7",CCCCCCCCCCCCCCCC[N+]1(CC)CCOCC1.CCO[S]([O-])(=O)=O,"Fungicide,Microbiocide"
2196,"N-cis-9-Octadecenyl-1,3-propylenediamine diacetate",68856-30-4,CCCCCCCC\C=C/CCCCCCCCNCCCN.CC(O)=O,Microbiocide
2198,N-Dodecylguanidine terephthalate,19727-17-4,CCCCCCCCCCCCN=C(N)N.OC(=O)c1ccc(cc1)C(O)=O,"Fungicide,Microbiocide"
2199,"N-isononyl-N,N-dimethyl decanaminium chloride",138698-36-9,[Cl-].CCCCCCCCCC[N+](C)(C)CCCCCCC(C)C,Microbiocide
2200,"N-methyl-N-oleoyltaurine, sodium salt",137-20-2,[Na+].CCCCCCCC\C=C/CCCCCCCC(=O)N(C)CC[S]([O-])(=O)=O,Microbiocide
2201,"N-octadecenyl-1,3-propane diamine monogluconate",83542-86-3,CCCCCCCC\C=C/CCCCCCCCNCCCN.OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)C(O)=O,Microbiocide
2202,N-Polyethoxylated oleylamine,26635-93-8,CCCCCCCC/C=C/CCCCCCCCN(CCOCCO)CCOCCO,Microbiocide
2203,N-Polyoxyethylated stearylamine,26635-92-7,CCCCCCCCCCCCCCCCCCN(CCOCCO)CCOCCO,Microbiocide
2205,"N,N-bis (2-hydroxy ethyl) octanamide",3077-30-3,CCCCCCCC(=O)N(CCO)CCO,Microbiocide
2207,"N,N-bis-(2-hydroxy ethyl)-cis-9-octadecenamide",93-83-4,CCCCCCCC/C=C/CCCCCCCC(=O)N(CCO)CCO,Microbiocide
2209,"N,N-Bis(phosphonomethyl)glycine",2439-99-8,OC(=O)CN(C[P](O)(O)=O)C[P](O)(O)=O,Herbicide
2211,"N,N-Dimethyloleylamine 2,4-dichlorophenoxyacetate",53535-36-7,CCCCCCCC\C=C/CCCCCCCCN(C)C.CC(=O)Oc1ccc(Cl)cc1Cl,Herbicide
2213,Nabam,142-59-6,[Na+].[Na+].[S-]C(=S)NCCNC([S-])=S,"Fungicide,Herbicide"
2214,Naled,300-76-5,CO[P](=O)(OC)OC(Br)C(Cl)(Cl)Br,Insecticide
2216,Naphthalene,91-20-3,c1ccc2ccccc2c1,"Dye,Insect Repellent,Insecticide"
2220,Naphthalic anhydride,81-84-5,O=C1OC(=O)c2cccc3cccc1c23,Herbicide Safener
2221,Naphthalophos,1491-41-4,CCO[P](=O)(OCC)ON1C(=O)c2cccc3cccc(C1=O)c23,Insecticide
2222,Naphthenic soap,61790-13-4,[Na+].CCC1CCC(CCC([O-])=O)C1,"Adjuvant,Insecticide"
2223,Naproanilide,52570-16-8,CC(Oc1ccc2ccccc2c1)C(=O)Nc3ccccc3,Herbicide
2224,Napropamide,15299-99-7,CCN(CC)C(=O)C(C)Oc1cccc2ccccc12,Herbicide
2225,Naptalam,132-66-1,OC(=O)c1ccccc1C(=O)Nc2cccc3ccccc23,Herbicide
2226,"Naptalam, sodium salt",132-67-2,[Na+].[O-]C(=O)c1ccccc1C(=O)Nc2cccc3ccccc23,Herbicide
2227,Neburon,555-37-3,CCCCN(C)C(=O)Nc1ccc(Cl)c(Cl)c1,Herbicide
2230,Neomycin sulfate,1405-10-3,NC[C@H]1O[C@H](O[C@@H]2[C@@H](N)C[C@@H](N)[C@H](O)[C@H]2O[C@@H]3O[C@H](CO)[C@@H](OC4O[C@@H](CN)[C@@H](O)[C@H](O)[C@H]4N)[C@H]3O)[C@H](N)[C@@H](O)[C@@H]1O.O[S](O)(=O)=O,"Drug,Microbiocide"
2231,Nicarbazin,330-95-0,CC1=CC(=NC(=O)N1)C.[O-][N+](=O)c2ccc(NC(=O)Nc3ccc(cc3)[N+]([O-])=O)cc2,Avicide
2235,Niclosamide,50-65-7,Oc1ccc(Cl)cc1C(=O)Nc2ccc(cc2Cl)[N+]([O-])=O,Molluscicide
2236,Boscalid,188425-85-6,Clc1ccc(cc1)c2ccccc2NC(=O)c3cccnc3Cl,Fungicide
2237,Nicosulfuron,111991-09-4,COc1cc(OC)nc(NC(=O)N[S](=O)(=O)c2ncccc2C(=O)N(C)C)n1,Herbicide
2238,Nicotine,54-11-5,CN1CCC[C@H]1c2cccnc2,Insecticide
2239,Nicotine sulfate,65-30-5,CN1CCCC1c2cccnc2.CN3CCCC3c4cccnc4.O[S](O)(=O)=O,Insecticide
2240,Nifluridide,61444-62-0,Nc1c(NC(=O)C(F)(F)C(F)F)cc(cc1[N+]([O-])=O)C(F)(F)F,Herbicide
2241,Nipyraclofen,99662-11-0,Nc1n(ncc1[N+]([O-])=O)c2c(Cl)cc(cc2Cl)C(F)(F)F,Herbicide
2242,Nithiazine,58842-20-9,[O-][N+](=O)\C=C1/NCCCS1,Insecticide
2243,Nitralin,4726-14-1,CCCN(CCC)c1c(cc(cc1[N+]([O-])=O)[S](C)(=O)=O)[N+]([O-])=O,Herbicide
2244,Nitrapyrin,1929-82-4,Clc1cccc(n1)C(Cl)(Cl)Cl,Microbiocide
2246,Nitrilacarb,29672-19-3,CNC(=O)O/N=C/C(C)(C)CCC#N,Insecticide
2247,Nitrofen,1836-75-5,[O-][N+](=O)c1ccc(Oc2ccc(Cl)cc2Cl)cc1,Herbicide
2249,Nitrothal-isopropyl,10552-74-6,CC(C)OC(=O)c1cc(cc(c1)[N+]([O-])=O)C(=O)OC(C)C,Fungicide
2253,Nonachlor,"3734-49-4, 5103-73-1",ClC1C(Cl)C2C(C1Cl)C3(Cl)C(=C(Cl)C2(Cl)C3(Cl)Cl)Cl,Insecticide
2254,nonanoic acid,112-05-0,CCCCCCCCC(O)=O,"Fungicide,Herbicide"
2257,"Nonyl 2,4-dichlorophenoxyacetate",55617-55-5,CCCCCCCCCOC(=O)COc1ccc(Cl)cc1Cl,Herbicide
2258,"Nonyl 2,4,5-T",2630-16-2,CCCCCCCCCOC(=O)COc1cc(Cl)c(Cl)cc1Cl,Herbicide
2261,Norea,"18530-56-8, 2163-79-3",CN(C)C(=O)NC1CC2CC1C3CCCC23,Herbicide
2263,Norflurazon,27314-13-2,CNC1=C(Cl)C(=O)N(N=C1)c2cccc(c2)C(F)(F)F,Herbicide
2265,Novaluron,116714-46-6,FC(OC(F)(F)F)C(F)(F)Oc1ccc(NC(=O)NC(=O)c2c(F)cccc2F)cc1Cl,Herbicide
2267,Nuarimol,63284-71-9,OC(c1ccc(F)cc1)(c2cncnc2)c3ccccc3Cl,Fungicide
2273,o-(2-Propynyloxy)phenyl methylcarbamate,3279-46-7,CNC(=O)Oc1ccccc1OCC#C,Insecticide
2274,o-(Chloromercuri)phenol,90-03-9,Oc1ccccc1[Hg]Cl,Microbiocide
2275,"o-(Hydroxymercuri)benzoic acid, cyclic anhydride",5722-59-8,O=C1O[Hg]c2ccccc12,Microbiocide
2276,o-cresol,95-48-7,Cc1ccccc1O,Microbiocide
2280,"O,O-diethyl O-naphthaloximido phosphorothioate",2668-92-0,CCO[P](=S)(OCC)ON1C(=O)c2cccc3cccc(C1=O)c23,Insecticide
2281,"O,O-diethyl phosphoro chloridothionate",2524-04-1,CCO[P](Cl)(=S)OCC,Insecticide
2282,"O,O-Diethyl S-(4,6-dimethyl-2-pyrimidinyl) phosphorodithioate",333-40-4,CCO[P](=S)(OCC)Sc1nc(C)cc(C)n1,Insecticide
2283,"O,O-diethyl-O-phenyl phosphorothioate",32345-29-2,CCO[P](=S)(OCC)Oc1ccccc1,Insecticide
2284,"O,O-Dimethyl dithiobis(thioformate)",1468-37-7,COC(=S)SSC(=S)OC,Herbicide
2285,"O,O-dimethyl S-(2-(ethylsulfinyl)-1-methylethyl) phosphorothioate",2674-91-1,CC[S](=O)CC(C)S[P](=O)(OC)OC,Insecticide
2286,Octhilinone,26530-20-1,CCCCCCCCN1SC=CC1=O,"Fungicide,Microbiocide"
2287,Octyl decyl dimethyl ammonium chloride,32426-11-2,[Cl-].CCCCCCCCCC[N+](C)(C)CCCCCCCC,"Fungicide,Microbiocide"
2288,Octyl dodecyl dimethyl ammonium chloride,10361-16-7,[Cl-].CCCCCCCCCCCC[N+](C)(C)CCCCCCCC,Microbiocide
2289,Octyl salicylate,118-60-5,CCCCC(CC)COC(=O)c1ccccc1O,Insecticide
2290,"Octylamine 2,4-dichlorophenoxyacetate",2212-53-5,CCCCCCCCN.OC(=O)COc1ccc(Cl)cc1Cl,Herbicide
